Title,Company,Location,Created,Description
Data Analyst,CRS Outsourcing PVT.LTD,"Delhi, India",2026-06-05T17:20:51Z,"Company Description CRS Outsourcing PVT. LTD. is a recruiting company. Team members work closely with domestic and international clients across diverse industries. CRS Outsourcing values integrity, collaboration, and continuous learning, and encourages employees to develop both technical and professional skills. Role Description This is a full-time, on-site Data Analyst role in Canada and Australia. The Data Analyst will collect, clean, and validate data from multiple sources to ensure accuracy…"
Data Analyst,Coforge,"Noida, Ghaziabad",2026-05-23T17:53:20Z,"Job Title: Data Analyst Skills: SQL, Python and Power BI/Tableau Experience: 2-4 years Location: Noida Notice Period: Only Immediate Joiners We at Coforge are hiring Data Analyst with the following skillset: 2 years in a data engineering / analytics role in a data services/product firm. ● Data modeling ability - knowledge of different data modeling concepts. ● Strong knowledge of SQL and ability to write complex SQL queries. ● Self-starter, curious, accountable with a strong work ethic able to …"
Data Analyst,Persistent Systems,India,2026-05-24T17:56:15Z,"About Position: The Data Analyst ensures business and clinical validation of BigID discovery and classification outcomes. Data Analyst supports Data Architect in understanding the data architecture, data flows, archival and deletion dependencies and prerequisites. Role: Data Analyst Location: All Persistent locations Experience: 5-8years Job Type: Full Time Employment What You'll Do: Validate sensitive data identification (PHI, PII) with business, compliance, and clinical stakeholders. Review c…"
Data Analyst,Idyllic Services,India,2026-06-04T16:47:41Z," Location: Pune / Bengaluru (Hybrid)  Experience: 6 Years  Employment Type: Full-Time About the Role We are seeking an experienced Data Analyst with strong expertise in Python, PySpark, and SQL to support large-scale data analytics initiatives within the Banking, Financial Services, and Insurance (BFSI) domain. The ideal candidate will possess strong analytical capabilities, hands-on experience working with complex datasets, and the ability to translate business requirements into actionable ins…"
Data Analyst,Varahe Analytics Pvt Ltd,"Noida, Ghaziabad",2026-05-20T07:26:29Z,"Job Description: Data Analyst - HR Department Location: Noida Experience: 1 to 2 Years About Varahe Analytics: Varahe Analytics is one of India’s premier integrated political consulting firms, specialising in building data-driven 360-degree election management. We help our clients with strategic advice and implementation, combining data-backed insights and in-depth ground intelligence into a holistic electoral campaign. We are passionate about our democracy and the politics that shape our world…"
Data Analyst,Alp Consulting Ltd.,India,2026-06-06T07:43:50Z,"Hi Applicants Looking out for a Job in a Reputed Organization? Here is a Gateway to it, through ALP Consulting. Recruiting for Data Analyst Employment Type : Permanent Required Strong knowledge in data management (DBMS, SQL, Big Data) Experience in programming languages like Python or R Experience in visualization tools like Tableau or Power BI Exposure to statistical techniques, ML concepts Experience in building data pipeline and automate the end to end data flow activities like extraction, c…"
Data Analyst,Creditsafe Technology,"Hyderabad, Telangana",2026-05-24T17:55:06Z,"Hello Everyone, Greetings from the Creditsafe Technology. We are excited to announce a new job opening for the position of Data Analyst based in Hyderabad, India. Please find the job description below for your reference. ABOUT US: Creditsafe, the global business intelligence experts, specializes in business credit checking and all round B2B solutions. As the world’s most used provider of online business credit reports, we’ve changed the way business information is used worldwide through our pas…"
Data Analyst,RapidBrains,"Bangalore, Karnataka",2026-06-16T09:32:58Z,"Job Title: Data Analyst Job Location: Bangalore/Pune/Gurgaon (Hybrid) Experience: 4Years Notice Period: Immediate Overview The Data Analyst will support Private Market investment operations by delivering trusted, well‑governed data solutions, leveraging strong expertise in the Citco fund administration environment. Partnering with Investment, Risk, Finance, and Data & Analytics teams, the role translates business requirements into clear data definitions, business rules, and quality standards su…"
Data Analyst,Genetic Callnet Consultancy Pvt Ltd.,"Mumbai, Maharashtra",2026-06-13T10:50:13Z,Job Summary: We are seeking a Data Analyst to join our team at our Andheri East office. The ideal candidate will be proficient in Excel and Google Sheets for database management and possess a working knowledge of MySQL. The primary responsibility of this role is to merge various excel files to generate meaningful MIS (Management Information System) reports. Responsibilities and Duties:  Merge various excel files to create comprehensive and meaningful MIS reports.  Utilize Excel and Google She…
Data Analyst,Arcana,"Coimbatore, Tamil Nadu",2026-01-24T17:31:47Z,"About Arcana Arcana is a portfolio intelligence platform used by hedge funds and asset managers to analyze performance and risk. We’re rethinking the tools institutional investors rely on—and we’re hiring analysts who want to help drive that transformation. Role Overview We are looking for a Data Analyst to work with large-scale financial datasets, ensure high data quality, and deliver actionable insights through dashboards and reports. The role focuses on building and maintaining robust data q…"
Data Analyst,ACL Digital,"Mumbai, Maharashtra",2026-06-13T10:54:09Z," Role Overview Job Title: Data Analyst Experience Required: Minimum 5 years in IT (with a clear track record in data analysis) Location: Mumbai, India The Mission: The BROKK team manages tariffs, rate cards, and invoice data for the bank’s global trading desks. Your job is to use data, math, and coding to automate how the bank tracks and validates its expenses and vendor invoices.  The 4 Core Duties (What you will do) Data Analysis: Study global tariff and invoice data to calculate business cos…"
Data Analyst,Epsilon,"Bangalore, Karnataka",2026-06-13T10:50:13Z,"Summary The Data Analyst will be a key member of the Technical Operations team, serving as a key link between Engineering and Operations. This role focuses on transforming data into actionable insights that improve operational efficiency and enhance client outcomes. You will work on client reporting, operational requests, and data-driven initiatives, leveraging tools such as Oracle SQL, Microsoft Excel, and other analytics platforms. This role also involves collaborating with cross-functional t…"
Data Analyst,Undisclosed,"Bangalore, Karnataka",2026-05-28T18:22:29Z,Data Analyst - Patient Journey Analytics Consultant (RWD/RWE) We are looking for a skilled Data Analytics professional with strong expertise in Real-World Data (RWD) and Real-World Evidence (RWE) to support patient journey analytics initiatives across multiple therapeutic indications. The consultant will work closely with cross-functional stakeholders to deliver actionable insights from healthcare datasets and help strengthen patient journey analysis capabilities on an ongoing basis. Location: …
Data Analyst,Good Health Company,"Hyderabad, Telangana",2026-06-14T14:47:17Z,"Job Summary Aniwell is seeking a highly skilled and detail-oriented Senior Data Analyst (Technical & Reporting) to join our team. The ideal candidate will have strong expertise in SQL, Python, Power BI, Tableau, and advanced reporting techniques. This role will be responsible for collecting, transforming, analyzing, and visualizing data from multiple business and digital platforms to generate actionable insights and support strategic decision-making. The candidate should possess a strong analyt…"
Data Analyst,Navi,India,2026-06-13T10:52:21Z,"About the Team The Analytics team at Navi plays a pivotal role in driving data-informed decision-making across the organization. We work closely with all business functions to generate insights, build visibility, and validate hypotheses that shape strategy and execution. Our work spans five key verticals: Business and Product Analytics, Credit & Credit Risk Analytics, Collections & Biz-fin Analytics, Self-Serve and Automation. About the Role Data analyst is a key role within the Navi central an…"
Data Analyst,Persistent Systems,India,2026-06-04T16:50:33Z,About Position: Persistent Systems is seeking a seasoned and visionary member to our Business Insights function. This role is critical in transforming enterprise data into strategic insights that influence executive decision-making and drive business value across global units. Role: Data Analyst – FP&A / Business Insights Location: Pune Experience: 3-10 Years Job Type: Full Time Employment What You'll Do: Designing and implementation of enterprise-wide data analytics frameworks to support strat…
Data Analyst,SourceFuse,"Noida, Ghaziabad",2026-04-23T17:46:09Z,"SourceFuse is looking for a highly proactive and business-oriented Data Analyst (DOMO) with 6 years of experience who can go beyond reporting to drive insights, influence decisions, and shape scalable data-driven solutions for client. Preferred Location: Noida/Mohali This role requires someone who can: ● Lead stakeholder conversations ● Translate ambiguous business problems into structured analytical solutions ● Bring a strong understanding of financial analytics (budgeting, planning, cost anal…"
